x,y,z
-0.212102,-2.20464,0.389777
-0.213504,-2.20067,0.387236
-0.206357,-2.19685,0.38
-0.204277,-2.19288,0.381904
-0.2016,-2.18394,0.383584
-0.196433,-2.18394,0.389754
-0.197399,-2.176,0.387206
-0.198446,-2.16904,0.384702
-0.190358,-2.17014,0.379783
-0.189337,-2.17709,0.382186
-0.188395,-2.18504,0.384631
-0.193407,-2.18504,0.378713
-0.195998,-2.19398,0.377102
-0.198013,-2.19796,0.375275
-0.199944,-2.20094,0.373328
-0.201566,-2.20094,0.371189
-0.202706,-2.19696,0.368909
-0.204342,-2.19796,0.366847
-0.206388,-2.20293,0.364925
-0.208729,-2.21088,0.363107
-0.217404,-2.20976,0.367321
-0.214986,-2.20182,0.369215
-0.223581,-2.20067,0.373503
-0.226075,-2.20861,0.371533
-0.229412,-2.22449,0.369962
-0.230655,-2.22151,0.367376
-0.221847,-2.22267,0.363324
-0.220635,-2.22565,0.365811
-0.216022,-2.22665,0.372762
-0.213341,-2.23161,0.377457
-0.221912,-2.23044,0.382073
-0.224667,-2.22548,0.37719
-0.233307,-2.22428,0.381616
-0.230478,-2.22924,0.386687
-0.232385,-2.2022,0.394718
-0.230107,-2.19824,0.396866
-0.22863,-2.2022,0.399605
-0.227611,-2.20915,0.402336
-0.225897,-2.21113,0.404861
-0.221883,-2.21014,0.409463
-0.219282,-2.20419,0.411297
-0.217754,-2.20815,0.413808
-0.21513,-2.2032,0.415763
-0.213149,-2.20419,0.418106
-0.211615,-2.20915,0.420679
-0.219402,-2.20786,0.426356
-0.220977,-2.20291,0.42369
-0.223013,-2.20192,0.421261
-0.225713,-2.20687,0.419233
-0.227281,-2.20291,0.41663
-0.229958,-2.20885,0.414729
-0.227184,-2.20654,0.432029
-0.2232,-2.21149,0.437204
-0.215523,-2.21282,0.431354
-0.21633,-2.19993,0.428044
-0.206526,-2.18138,0.420786
-0.203975,-2.17742,0.422649
-0.196416,-2.17864,0.41689
-0.198078,-2.17467,0.414509
-0.190468,-2.17585,0.408837
-0.188852,-2.17982,0.411127
-0.182854,-2.17699,0.403162
-0.185885,-2.16904,0.398758
-0.193588,-2.16791,0.404252
-0.201287,-2.16673,0.409743
-0.198182,-2.15582,0.411024
-0.190578,-2.15699,0.405481
-0.182971,-2.15812,0.399935
-0.183071,-2.16517,0.387261
-0.184484,-2.16219,0.385203
-0.192385,-2.1611,0.390355
-0.19093,-2.16408,0.3925
-0.198784,-2.16295,0.397737
-0.200281,-2.15997,0.395504
-0.198785,-2.18081,0.400952
-0.197239,-2.18478,0.403339
-0.189418,-2.18593,0.397885
-0.190919,-2.18195,0.395592
-0.18305,-2.18305,0.390229
-0.181592,-2.18703,0.392428
-0.180354,-2.1861,0.379505
-0.18521,-2.1861,0.373839
-0.187715,-2.19505,0.372298
-0.189666,-2.19902,0.370548
-0.191536,-2.202,0.368684
-0.193109,-2.202,0.366635
-0.194218,-2.19803,0.36445
-0.195804,-2.19902,0.362474
-0.197785,-2.20399,0.360632
-0.199363,-2.20499,0.358573
-0.199912,-2.19604,0.356083
-0.202741,-2.19306,0.351244
-0.200352,-2.1861,0.353522
-0.191684,-2.18712,0.349535
-0.193995,-2.19408,0.347356
-0.191248,-2.19706,0.351985
-0.190707,-2.20601,0.354368
-0.189177,-2.20502,0.356338
-0.187261,-2.20005,0.358099
-0.185725,-2.19905,0.359989
-0.184648,-2.20303,0.362078
-0.183123,-2.20303,0.364037
-0.182045,-2.208,0.366215
-0.180881,-2.21198,0.368297
-0.178724,-2.20601,0.369938
-0.170449,-2.207,0.365018
-0.17366,-2.20899,0.361467
-0.175235,-2.20998,0.359667
-0.172531,-2.21297,0.363454
-0.164176,-2.21391,0.358608
-0.16527,-2.20993,0.356717
-0.166793,-2.21093,0.355004
-0.16217,-2.20794,0.360095
-0.149701,-2.20983,0.359922
-0.146788,-2.20983,0.362975
-0.142289,-2.21083,0.367578
